"Key","Value"
98322,0.0733
98323,0.0219
98324,0.0051
98325,0.0021
98326,0.0149
98327,0.0288
98328,0.034
98329,0.03
98330,0.0154
98331,0.0265
98332,0.002
98333,6e-04
98334,2e-04
98335,0.0029
98336,0.0128
98337,0.0173
98338,0.0135
98339,0.0183
98340,0.0131
98341,0.0063
98357,0.0192
98358,0.0198
98359,0.0074
98713,8e-04
98714,0.0118
98715,0.0095
98716,0.0145
98717,0.0306
98718,0.0619
98719,0.09
98720,0.1006
98721,0.1763
98722,0.0456
98723,0.0104
98724,0.0065
98725,0.0172
98726,0.0062
98727,0.0168
98728,0.0062
98729,0.0112
98730,0.0048
98731,0.0073
98732,0.0031
98733,0.0163
98734,0.0079
98735,0.0168
98736,0.0389
98737,0.0355
98738,0.0284
98739,0.0505
98740,0.0335
98741,0.0105
98742,0.014
98743,0.021
98744,0.0046
98745,0.0134
98746,0.0027
98747,0.0049
98748,0.0022
98749,0.0048
98750,0.015
98751,0.0312
98752,0.0419
98753,0.0343
98754,0.0012
98755,8e-04
98756,0.0046
98757,0.0268
98758,0.0132
98759,0.0149
98760,0.0218
98761,0.0085
98762,0.0024
98763,2e-04
98764,4e-04
98765,0.0171
98766,0.0151
98767,0.018
98768,0.0073
98769,1e-04
98770,2e-04
98771,0.0109
98772,0.0055
98773,0.0164
98774,0.027
98791,0.016
99133,3e-04
99134,5e-04
99135,0.0235
99136,0.0122
99137,0.0152
99138,0.0179
99139,0.052
99140,0.0549
99141,0.0385
99142,0.1039
99143,0.0334
99144,0.0081
99145,0.0491
99146,0.0398
99147,0.0205
99148,0.0113
99149,0.0098
99150,0.0093
99151,0.004
99152,0.0087
99153,2e-04
99154,0.0032
99155,0.0011
99156,0.0012
99157,0.002
99158,0.0054
99159,0.043
99160,0.0479
99161,0.0325
99162,0.0017
99163,0.0016
99164,0.0016
99165,0.0048
99166,0.0033
99167,3e-04
99168,0.0088
99169,0.0052
99170,0.003
99171,0.0018
99172,4e-04
99173,0.0059
99174,0.0572
99175,0.0603
99176,0.0189
99177,0.0494
99178,0.0198
99179,0.0085
99180,0.0489
99181,0.0449
99182,0.0064
99183,0.007
99184,8e-04
99185,2e-04
99186,6e-04
99187,0.0035
99188,0.0015
99189,9e-04
99190,2e-04
99191,4e-04
99192,0.014
99193,0.011
99194,0.0082
99195,8e-04
99539,0.0021
99540,0.0102
99541,0.0103
99542,0.0143
99543,0.0168
99544,0.037
99545,0.0459
99546,0.0447
99547,0.0024
99548,0.0213
99549,0.0345
99550,0.0296
99551,0.0174
99552,0.016
99553,0.0038
99554,0.0221
99555,0.0197
99556,0.0071
99557,0.008
99558,0.0175
99559,0.0081
99560,0.005
99561,0.0015
99562,0.002
99563,0.0853
99564,0.1344
99565,0.0673
99566,0.0375
99567,0.0079
99568,0.0042
99569,0.0066
99570,0.0061
99571,0.033
99572,0.0082
99573,0.0014
99574,0.0024
99575,0.0012
99576,0.0051
99577,0.0037
99578,4e-04
99579,0.0379
99580,0.0525
99581,0.0263
99582,0.031
99583,0.0219
99584,0.0158
99585,0.046
99586,0.0402
99587,0.0119
99588,0.0029
99589,0.0108
99590,0.0065
99591,0.0045
99592,3e-04
99593,3e-04
99594,0.0015
99595,0.0026
99596,0.0018
99597,0.0018
99598,0.0064
99599,0.006
99600,0.0036
99601,0.0028
99602,0.0017
99945,0.0045
99946,0.0103
99947,0.0127
99948,0.0293
99949,0.018
99950,0.0302
99951,0.0463
99952,0.0276
99953,0.0029
99954,0.0406
99955,0.0025
99956,0.0125
99957,0.0135
99958,0.0017
99959,0.0029
99960,0.0097
99961,0.0065
99962,0.0022
99963,0.0321
99964,0.0896
99965,0.1096
99966,0.0504
99967,0.0067
99968,0.0076
99969,0.0359
99970,0.0675
99971,0.0265
99972,0.0331
99973,0.0336
99974,8e-04
99975,0.0021
99976,0.003
99977,0.0054
99978,0.0036
99979,3e-04
99980,8e-04
99981,0.0387
99982,0.0338
99983,0.0138
99984,0.0126
99985,0.0781
99986,0.0954
99987,0.0331
99988,0.0396
99989,0.0355
99990,0.0417
99991,0.0488
99992,0.0382
99993,0.0288
99994,0.0059
99995,0.0075
99996,0.018
99997,0.03
99998,0.0036
99999,0.003
100000,0.0024
100001,0.0067
100002,0.0062
100003,0.0037
100004,0.0043
100005,0.0042
100006,0.0011
100007,0.0019
100008,0.0018
100009,3e-04
100335,0.0017
100336,0.0328
100337,0.0183
100338,0.0262
100339,0.0206
100340,0.0248
100341,0.0615
100342,0.0486
100343,0.0055
100344,0.023
100345,0.0605
100346,0.016
100347,0.0063
100348,9e-04
100349,9e-04
100350,0.0058
100351,0.0065
100352,0.002
100353,0.0108
100354,0.0515
100355,0.017
100356,0.0108
100357,0.0178
100358,0.0142
100359,0.0752
100360,0.1593
100361,0.0964
100362,0.0613
100363,0.0456
100364,0.0088
100365,4e-04
100366,0.0045
100367,0.0043
100368,0.0025
100369,0.0097
100370,0.0024
100371,0.0199
100372,0.0529
100373,0.0539
100374,0.1032
100375,0.1894
100376,0.3305
100377,0.1418
100378,0.032
100379,0.03
100380,0.0398
100381,0.0391
100382,0.0444
100383,0.0384
100384,0.044
100385,0.0152
100386,8e-04
100387,0.0241
100388,0.0148
100389,0.007
100390,0.0147
100391,0.0065
100392,0.0033
100393,0.002
100394,0.0042
100395,5e-04
100396,0.002
100397,0.0014
100398,0.0011
100399,6e-04
100400,6e-04
100731,3e-04
100732,0.0039
100733,0.013
100734,0.031
100735,0.0151
100736,0.0217
100737,0.0226
100738,0.0377
100739,0.0648
100740,0.047
100741,0.0296
100742,0.0761
100743,0.0457
100744,0.004
100745,0.0026
100746,0.0016
100747,0.001
100748,0.0022
100749,0.0143
100750,0.0408
100751,0.0875
100752,0.0717
100753,0.0733
100754,0.0871
100755,0.0547
100756,0.0163
100757,0.1323
100758,0.0751
100759,0.1544
100760,0.0867
100761,0.1905
100762,0.0569
100763,0.0047
100764,0.0011
100765,0.0084
100766,0.0141
100767,0.0138
100768,0.0439
100769,0.0474
100770,0.0869
100771,0.1259
100772,0.31
100773,0.2644
100774,0.1337
100775,0.0234
100776,0.0216
100777,0.0226
100778,0.035
100779,0.0388
100780,0.0234
100781,0.0259
100782,0.0356
100783,0.0216
100784,0.0069
100785,0.0026
100786,0.0064
100787,0.0147
100788,0.0178
100789,0.0106
100790,0.007
100791,0.0069
100792,0.0039
100793,0.0028
100794,0.0041
100795,0.0028
100796,0.0018
100797,3e-04
100798,0.0012
101111,0.001
101112,0.0144
101113,0.0179
101114,0.0088
101115,0.0192
101116,0.0206
101117,0.0316
101118,0.0392
101119,0.0455
101120,0.0104
101121,0.0346
101122,0.0783
101123,0.0343
101124,0.0201
101125,0.0084
101126,0.0113
101127,0.004
