"Key","Value"
217,3046.079
218,3697.33
219,3291.778
220,4893.263
221,0
222,0
223,1539.321
224,0
225,1897.509
226,1545.241
227,0
228,1275.86
229,1456.434
230,2687.891
231,1953.753
232,3223.692
233,0
234,0
235,0
236,2439.231
237,2536.919
238,4141.364
239,2311.941
240,0
241,3297.698
242,3741.733
243,2045.52
244,2927.669
245,1675.491
246,4250.893
247,1583.724
248,3694.369
249,3339.142
250,2214.253
251,2504.356
252,5618.52
253,3238.494
254,1924.151
255,1770.219
256,0
257,3457.551
258,3410.187
259,0
260,0
261,3386.505
262,3490.113
263,4022.955
264,1634.048
265,1086.405
266,1426.832
267,1465.315
268,3413.147
269,3309.539
270,2507.316
271,2809.26
272,0
273,0
274,4111.762
275,1373.548
276,1687.332
277,1009.439
278,1631.088
279,1811.662
280,1039.041
281,1805.741
282,2637.567
283,1545.241
284,2066.242
285,1604.446
286,1642.929
287,1142.649
288,1613.326
289,3605.562
290,1338.025
291,1663.65
292,2424.43
293,1364.667
294,1894.548
295,1527.48
296,1787.98
297,3490.113
298,2036.64
299,2838.862
300,2741.175
301,2332.663
302,0
303,0
304,2190.572
305,2377.066
306,1500.838
307,1317.303
308,1601.485
309,2581.322
310,1349.866
311,3025.357
312,3424.988
313,0
314,0
315,1207.775
316,1645.889
317,2673.089
318,1488.997
319,1832.384
320,1216.655
321,2012.958
322,3777.256
323,2240.896
324,2513.237
325,2797.419
326,2516.197
327,1956.713
328,1631.088
329,2297.14
330,2045.52
331,1622.207
332,3247.374
333,1548.201
334,2667.169
335,1906.389
336,2140.248
337,1675.491
338,4464.03
339,2418.509
340,2125.446
341,2092.884
342,2797.419
343,2741.175
344,1977.435
345,1219.616
346,1850.145
347,1101.206
348,1385.388
349,2311.941
350,1796.861
351,1379.468
352,1474.195
353,2033.679
354,1278.82
355,1790.94
356,905.831
357,1003.519
358,515.08
359,1080.485
360,0
361,1314.343
362,1104.166
363,1065.683
364,1065.683
365,186.495
366,1515.639
367,1799.821
368,1201.854
369,1592.605
370,920.632
371,1930.071
372,2332.663
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1616.287
383,0
384,0
385,2448.112
386,3300.658
387,1687.332
388,0
389,3496.034
390,0
391,4665.325
392,0
393,0
394,0
395,0
396,6183.924
397,1924.151
398,3780.216
399,0
400,5076.798
401,4357.461
402,0
403,5651.083
404,3969.671
405,6553.953
406,7024.63
407,2622.765
408,4079.199
409,0
410,0
411,3561.159
412,4727.49
413,2918.789
414,4262.734
415,4256.813
416,3871.983
417,1672.531
418,4517.314
419,4736.371
420,14081.823
421,0
422,3537.477
423,5124.161
424,7231.846
425,4351.541
426,3279.937
427,3697.33
428,3845.341
429,0
430,4221.291
431,3318.42
432,6699.005
433,4641.644
434,5212.968
435,7116.397
436,3105.283
437,3359.863
438,3259.215
439,6364.498
440,0
441,3356.903
442,2874.385
443,0
444,3898.625
445,0
446,4958.388
447,0
448,3339.142
449,4037.756
450,4079.199
451,3469.392
452,3043.118
453,4049.597
454,3750.614
455,2696.771
456,3096.403
457,2557.64
458,7119.358
459,4271.615
460,4437.388
461,2989.834
462,3291.778
463,6932.863
464,7066.073
465,4449.228
466,3498.994
467,3966.711
468,4040.716
469,0
470,0
471,0
472,0
473,4031.836
474,6083.276
475,4730.45
476,0
477,3845.341
478,0
479,0
480,0
481,2208.333
482,0
483,0
484,0
485,4884.383
486,4455.149
487,4230.171
488,3845.341
489,4567.638
490,2288.259
491,3978.552
492,4114.722
493,3709.17
494,6089.197
495,6062.555
496,5810.935
497,2895.107
498,4789.655
499,3558.199
500,2966.152
501,1725.815
502,3498.994
503,2587.243
504,1142.649
505,2829.982
506,3140.806
507,3522.676
508,3913.426
509,1947.833
510,1290.661
511,1666.611
512,1124.888
513,962.075
514,5846.458
515,3531.557
516,2270.498
517,2563.561
518,3815.739
519,3380.585
520,2939.51
521,2350.424
522,3874.943
523,2329.702
524,1935.992
525,1684.372
526,3709.17
527,2563.561
528,1583.724
529,2554.68
530,4064.398
531,0
532,3797.977
533,2939.51
534,2794.459
535,5198.167
536,3164.488
537,3424.988
538,0
539,2572.441
540,2637.567
541,1358.746
542,2456.992
543,1725.815
544,2729.334
545,50.324
546,4230.171
547,3854.222
548,1157.451
549,2995.755
550,5112.32
551,8584.672
552,4564.677
553,2702.692
554,4239.052
555,5778.373
556,2004.077
557,3649.966
558,2812.22
559,0
560,0
561,3931.188
562,2761.896
563,2474.754
564,3587.801
565,4165.046
566,2092.884
567,6201.686
568,2380.026
569,5580.037
570,4615.001
571,6317.135
572,1216.655
573,2498.436
574,2181.691
575,3202.971
576,4552.837
577,5295.855
578,3534.517
579,0
580,0
581,7267.369
582,2963.192
583,6918.062
584,3060.88
585,3087.522
586,0
587,5964.867
588,6553.953
589,4863.661
590,5032.394
591,4839.979
592,3197.05
593,7376.898
594,5082.718
595,5704.367
596,1577.804
597,3490.113
598,4138.404
599,1986.316
600,3300.658
601,2300.1
602,3241.454
603,3401.306
604,1998.156
605,3747.654
606,1770.219
607,2306.021
608,0
609,2199.452
610,2495.475
611,2456.992
612,0
613,1003.519
614,3078.641
615,3487.153
616,0
617,0
618,2948.391
619,0
620,0
621,8880.696
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,3638.125
636,5710.287
637,0
638,3105.283
639,6071.435
640,0
641,8895.497
642,6118.799
643,9253.685
644,0
645,0
646,3735.813
647,4831.098
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,5076.798
675,2424.43
676,0
677,0
678,0
679,0
680,0
681,0
682,4475.871
683,0
684,0
685,0
686,0
687,0
688,0
689,4037.756
690,2767.817
691,3777.256
692,0
693,4916.945
694,3860.142
695,1637.008
696,0
697,0
698,0
699,0
700,2303.06
701,2824.061
702,1471.235
703,4014.074
704,2344.504
705,6379.3
706,0
707,5541.554
708,4665.325
709,4064.398
710,3786.137
711,1983.355
712,4632.763
713,2439.231
714,4641.644
715,4440.348
716,9739.163
717,4999.832
718,4242.012
719,2382.987
720,0
721,0
722,6482.908
723,3090.482
724,4739.331
725,7294.011
726,0
727,2761.896
728,0
729,6444.425
730,0
731,4890.303
732,1971.514
733,3285.857
734,2693.811
735,6861.817
736,3419.068
737,0
738,0
739,870.308
740,1557.082
741,2039.6
742,5754.691
743,0
744,0
745,0
746,2764.857
747,17734.749
748,0
749,15005.415
750,3762.455
751,18412.642
752,0
753,0
754,0
755,5710.287
756,30226.927
757,16467.77
758,31257.088
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,11900.132
767,10644.994
768,1518.599
769,35934.254
770,1918.23
771,3786.137
772,3655.886
773,3815.739
774,1713.974
775,2741.175
776,2134.327
777,1258.099
778,1956.713
779,1814.622
780,1033.121
781,1015.36
782,1456.434
783,0
784,0
785,1462.355
786,2226.094
787,1163.371
788,1568.923
789,2412.589
790,1927.111
791,1648.849
792,1870.867
793,1231.456
794,1326.184
795,1320.263
796,2758.936
797,1713.974
798,1903.429
799,47.364
800,1956.713
801,2474.754
802,1335.065
803,843.666
804,3202.971
805,2078.083
